Date,Rate
14/06/2024,200.27
13/06/2024,201.91
12/06/2024,202.42
11/06/2024,200.41
10/06/2024,200.32
7/06/2024,199.11
6/06/2024,201.79
5/06/2024,200.91
4/06/2024,200.68
3/06/2024,201.84
31/05/2024,200.76
30/05/2024,200.22
29/05/2024,199.2
28/05/2024,200.57
27/05/2024,199.8
24/05/2024,198.68
23/05/2024,198.08
22/05/2024,198.47
21/05/2024,199.79
20/05/2024,199.71
17/05/2024,200.29
16/05/2024,200.71
15/05/2024,202.1
14/05/2024,199.02
13/05/2024,198.46
10/05/2024,197.04
9/05/2024,197.64
8/05/2024,196.47
7/05/2024,197.48
6/05/2024,197.4
3/05/2024,196.26
2/05/2024,194.91
1/05/2024,193.84
30/04/2024,192.35
29/04/2024,194.68
26/04/2024,193.28
25/04/2024,193.43
24/04/2024,193.45
23/04/2024,194.77
22/04/2024,193.66
19/04/2024,193.15
18/04/2024,193.24
17/04/2024,193.66
16/04/2024,191.87
15/04/2024,192.52
12/04/2024,192.77
11/04/2024,195.03
10/04/2024,194.32
9/04/2024,197.85
8/04/2024,197.3
5/04/2024,196.81
4/04/2024,197.38
3/04/2024,196.73
2/04/2024,195.41
1/04/2024,194.64
29/03/2024,195.83
28/03/2024,195.65
27/03/2024,196.51
26/03/2024,197.14
25/03/2024,197.87
22/03/2024,197.5
21/03/2024,199.6
20/03/2024,200.22
19/03/2024,198.38
18/03/2024,199.66
15/03/2024,200.18
14/03/2024,201.02
13/03/2024,202.54
12/03/2024,202.38
11/03/2024,202.95
8/03/2024,203.62
7/03/2024,203.37
6/03/2024,201.88
5/03/2024,200.23
4/03/2024,200.35
1/03/2024,201.37
29/02/2024,201.02
28/02/2024,201.38
27/02/2024,203
26/02/2024,203.2
23/02/2024,203.79
22/02/2024,203.6
21/02/2024,203.9
20/02/2024,204.17
19/02/2024,204.02
16/02/2024,203.9
15/02/2024,204.01
14/02/2024,203.2
13/02/2024,201.95
12/02/2024,204.52
9/02/2024,203.91
8/02/2024,203.01
7/02/2024,203.85
6/02/2024,204.5
5/02/2024,202.5
2/02/2024,202.85
1/02/2024,205.8
31/01/2024,207.26
30/01/2024,209.12
29/01/2024,209.93
26/01/2024,208.73
25/01/2024,209.28
24/01/2024,209.12
23/01/2024,210.3
22/01/2024,210.11
19/01/2024,211.17
18/01/2024,210.57
17/01/2024,210.12
16/01/2024,211.58
15/01/2024,214.45
12/01/2024,215.26
11/01/2024,215.66
10/01/2024,216.18
9/01/2024,215.59
8/01/2024,216.49
5/01/2024,216.49
4/01/2024,216.24
3/01/2024,217.04
2/01/2024,217.33
1/01/2024,219.82
29/12/2023,220.51
28/12/2023,221.12
27/12/2023,221.61
26/12/2023,221.99
25/12/2023,221.07
22/12/2023,221.17
21/12/2023,221.82
20/12/2023,219.87
19/12/2023,220.92
18/12/2023,219.09
15/12/2023,218.86
14/12/2023,218.59
13/12/2023,217.38
12/12/2023,214.28
11/12/2023,214.54
8/12/2023,214.9
7/12/2023,215.52
6/12/2023,213.96
5/12/2023,214.77
4/12/2023,217
1/12/2023,218.74
30/11/2023,216.45
29/11/2023,217.2
28/11/2023,218.72
27/11/2023,217.17
24/11/2023,216.02
23/11/2023,215.23
22/11/2023,214.71
21/11/2023,215.17
20/11/2023,214.87
17/11/2023,213.14
16/11/2023,212.05
15/11/2023,213.79
14/11/2023,213.14
13/11/2023,208.18
10/11/2023,207.94
9/11/2023,208.14
8/11/2023,210.11
7/11/2023,210.75
6/11/2023,211.83
3/11/2023,213.92
2/11/2023,211.52
1/11/2023,209.34
31/10/2023,207.5
30/10/2023,208.43
27/10/2023,207.31
26/10/2023,206.38
25/10/2023,205.8
24/10/2023,207.81
23/10/2023,206.46
20/10/2023,205.46
19/10/2023,205.34
18/10/2023,205.6
17/10/2023,206.16
16/10/2023,205.42
13/10/2023,203.36
12/10/2023,204.1
11/10/2023,207.52
10/10/2023,208.04
9/10/2023,207.36
6/10/2023,206.65
5/10/2023,206.32
4/10/2023,204.39
3/10/2023,203.84
2/10/2023,206.19
29/09/2023,208.3
28/09/2023,207.95
27/09/2023,205.65
26/09/2023,206.91
25/09/2023,208.1
22/09/2023,208.69
21/09/2023,207.59
20/09/2023,208.82
19/09/2023,209.11
18/09/2023,208.62
15/09/2023,207.59
14/09/2023,207.98
13/09/2023,206.76
12/09/2023,206.98
11/09/2023,206.43
8/09/2023,204.64
7/09/2023,205.31
6/09/2023,204.86
5/09/2023,204.8
4/09/2023,206.66
1/09/2023,205.43
31/08/2023,206.48
30/08/2023,207.56
29/08/2023,207.62
28/08/2023,208.14
25/08/2023,206.72
24/08/2023,207.21
23/08/2023,209.18
22/08/2023,207.72
21/08/2023,207.11
18/08/2023,206.82
17/08/2023,205.86
16/08/2023,206.21
15/08/2023,206.53
14/08/2023,208.2
11/08/2023,207.29
10/08/2023,207.76
9/08/2023,208.51
8/08/2023,209.05
7/08/2023,211.62
4/08/2023,210.21
3/08/2023,207.04
2/08/2023,204.61
1/08/2023,209.57
31/07/2023,212.87
28/07/2023,218.09
27/07/2023,219.99
26/07/2023,221.6
25/07/2023,224.04
24/07/2023,221.71
21/07/2023,219.64
20/07/2023,219.64
19/07/2023,218.8
18/07/2023,219.41
17/07/2023,218.76
14/07/2023,217.42
13/07/2023,218.32
12/07/2023,213.11
11/07/2023,209.27
10/07/2023,206.93
7/07/2023,206.69
6/07/2023,204.71
5/07/2023,203.61
4/07/2023,204.74
3/07/2023,205.13
30/06/2023,204.98
29/06/2023,203.38
28/06/2023,202.89
27/06/2023,205.87
26/06/2023,205.1
23/06/2023,205.32
22/06/2023,206.7
21/06/2023,207.96
20/06/2023,207.56
19/06/2023,209.58
16/06/2023,211.35
15/06/2023,210.71
14/06/2023,214.06
13/06/2023,206.98
12/06/2023,202.85
9/06/2023,199.14
8/06/2023,197.42
7/06/2023,193.51
6/06/2023,194.43
5/06/2023,191.84
2/06/2023,191.72
1/06/2023,192.83
31/05/2023,188.5
30/05/2023,191.6
29/05/2023,193.49
26/05/2023,193.55
25/05/2023,196.48
24/05/2023,198.25
23/05/2023,201.24
22/05/2023,202.92
19/05/2023,203.82
18/05/2023,202.48
17/05/2023,203.1
16/05/2023,205.64
15/05/2023,209.65
12/05/2023,207.35
11/05/2023,209.74
10/05/2023,214.12
9/05/2023,214.29
8/05/2023,215.67
5/05/2023,215.36
4/05/2023,213.51
3/05/2023,213.07
2/05/2023,213.25
1/05/2023,212.16
28/04/2023,211.62
27/04/2023,212.16
26/04/2023,211.14
25/04/2023,212.99
24/04/2023,214.3
21/04/2023,212.74
20/04/2023,214.33
19/04/2023,213.78
18/04/2023,213.76
17/04/2023,213.73
14/04/2023,213.99
13/04/2023,216.25
12/04/2023,213.35
11/04/2023,212.23
10/04/2023,211.06
7/04/2023,213.38
6/04/2023,213.47
5/04/2023,216.74
4/04/2023,217.77
3/04/2023,219.16
31/03/2023,216.59
30/03/2023,217.98
29/03/2023,217.2
28/03/2023,217.72
27/03/2023,214.46
24/03/2023,212.64
23/03/2023,212.52
22/03/2023,213.52
21/03/2023,213.38
20/03/2023,228.45
17/03/2023,224.95
16/03/2023,225.99
15/03/2023,223.29
14/03/2023,223.81
13/03/2023,218.51
10/03/2023,210.5
9/03/2023,212.53
8/03/2023,212.45
7/03/2023,212.3
6/03/2023,228.42
3/03/2023,229.81
2/03/2023,232.86
1/03/2023,242.04
28/02/2023,243.59
27/02/2023,244.48
24/02/2023,245.5
23/02/2023,248.49
22/02/2023,248.35
21/02/2023,250.17
20/02/2023,249.98
17/02/2023,251.46
16/02/2023,251.07
15/02/2023,251.98
14/02/2023,254.99
13/02/2023,254.26
10/02/2023,252.51
9/02/2023,253.51
8/02/2023,253.09
7/02/2023,254.35
6/02/2023,251.37
3/02/2023,252.65
2/02/2023,259.02
1/02/2023,261.2
31/01/2023,257.47
30/01/2023,258.4
27/01/2023,257.13
26/01/2023,257.53
25/01/2023,257.09
24/01/2023,255.07
23/01/2023,254.38
20/01/2023,254.99
19/01/2023,253.6
18/01/2023,251.26
17/01/2023,255.03
16/01/2023,254.52
13/01/2023,255.36
12/01/2023,256.07
11/01/2023,252.92
10/01/2023,253.13
9/01/2023,254.02
6/01/2023,249.56
5/01/2023,244.99
4/01/2023,248
3/01/2023,244.19
2/01/2023,246.91
30/12/2022,250.41
29/12/2022,246.04
28/12/2022,244.55
27/12/2022,244.26
26/12/2022,244.15
23/12/2022,243.83
22/12/2022,241.98
21/12/2022,243.43
20/12/2022,242.38
19/12/2022,244.55
16/12/2022,245.67
15/12/2022,246.3
14/12/2022,249.13
13/12/2022,251.88
12/12/2022,247.92
9/12/2022,249.75
